URL,Listing_ID,Type,Subtype,Price,Bedroom,Living_area,Listing_address,Postal_code,Locality,District,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Kitchen,Facade,Open Fire,Furnished,State of the building
https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/10679309,10679309.0,house,house,100000,2,100.0,None None,4460,Grace-Hollogne,Liège,False,,,0,True,not installed,3.0,False,False,
https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/10442419,10442419.0,apartment,apartment,165000,2,86.0,Groene Hofstraat 37,2850,Boom,Antwerp,False,,,,True,hyper equipped,2.0,False,,GOOD
https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/10679305,10679305.0,house,house,725000,5,242.0,Kerkplein 2,2220,Heist-op-den-Berg,Mechelen,False,,,768,True,,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/apartment-block/for-sale/heist-op-den-berg/2220/10679304,10679304.0,house,apartment block,725000,5,242.0,Kerkplein 2,2220,Heist-op-den-Berg,Mechelen,False,,,768,True,,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/house/for-sale/merchtem/1785/10679295,10679295.0,house,house,980000,5,326.0,None None,1785,Merchtem,Halle-Vilvoorde,True,,,1577,True,hyper equipped,4.0,True,,AS_NEW
https://www.immoweb.be/en/classified/house/for-sale/opwijk/1745/10679293,10679293.0,house,house,280000,2,151.0,Neerveldstraat 176,1745,Opwijk,Halle-Vilvoorde,False,True,150,405,True,semi equipped,3.0,True,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10679291,10679291.0,house,house,345000,3,,Mechelsesteenweg 707,3020,Herent,Leuven,False,,,642,True,,4.0,False,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/namur/5000/10679290,10679290.0,house,exceptional property,849000,7,265.0,None None,5000,Namur,Namur,False,,,2472,True,hyper equipped,4.0,False,False,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/gemmenich/4851/10679289,10679289.0,house,mixed use building,335000,2,210.0,None None,4851,Gemmenich,Verviers,False,,,0,True,installed,2.0,False,,
https://www.immoweb.be/en/classified/apartment/for-sale/herent/3020/10591055,10591055.0,apartment,apartment,325000,4,154.0,Wijgmaalsesteenweg 289 a,3020,Herent,Leuven,False,,,,True,hyper equipped,3.0,False,False,
https://www.immoweb.be/en/classified/apartment/for-sale/dessel/2480/10679287,10679287.0,apartment,apartment,254560,2,98.0,Bergenstraat 65 /B.0.2.,2480,Dessel,Turnhout,False,,,,True,,,False,,
https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/10679286,10679286.0,apartment,apartment,373000,2,103.0,Hendrik van Veldekesingel 31,3500,Hasselt,Hasselt,False,,,,True,usa hyper equipped,3.0,False,,AS_NEW
https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10679283,10679283.0,house,villa,425000,4,130.0,None None,1410,Waterloo,Nivelles,False,,,612,True,installed,4.0,False,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10679282,10679282.0,house,house,740000,5,255.0,None None,1050,Ixelles,Brussels,False,,,142,True,,2.0,False,,GOOD
https://www.immoweb.be/en/classified/exceptional-property/for-sale/ans%20alleur/4432/10547602,10547602.0,house,exceptional property,1890000,4,473.0,None None,4432,Ans Alleur,Liège,True,,,3478,True,usa hyper equipped,4.0,False,False,AS_NEW
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herstal%20vottem/4041/10444915,10444915.0,house,mixed use building,420000,4,275.0,None None,4041,Herstal Vottem,Liège,False,,,1506,True,installed,3.0,False,False,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/welkenraedt/4840/10679279,10679279.0,apartment,apartment,402226,2,98.0,Rue de la Montagne Jaune None,4840,Welkenraedt,Verviers,False,,,,True,usa hyper equipped,,False,,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/10679278,10679278.0,apartment,apartment,64000,1,100.0,None None,6000,Charleroi,Charleroi,False,,,,True,not installed,,False,False,TO_RESTORE
https://www.immoweb.be/en/classified/house/for-sale/dour/7370/10679277,10679277.0,house,house,130000,3,,Rue de France 28,7370,Dour,Mons,False,,,0,True,semi equipped,2.0,False,False,GOOD
https://www.immoweb.be/en/classified/farmhouse/for-sale/jurbise%20masnuy-saint-jean/7050/10679276,10679276.0,house,farmhouse,390000,3,247.0,None None,7050,Jurbise Masnuy-Saint-Jean,Mons,False,True,9000,9782,True,,4.0,False,,TO_RENOVATE
https://www.immoweb.be/en/classified/house/for-sale/hensies%20hainin/7350/10679275,10679275.0,house,house,135000,4,138.0,Rue de la Centenaire 29,7350,Hensies Hainin,Mons,False,True,250,400,True,usa installed,2.0,False,,GOOD
